"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"11/25/2024","Invoice","3732","Rochester Iron & Metal","12/25/2024","$0.00","$3,742.20","","Dec 27, 2024, 7:32 AM",
"11/22/2024","Invoice","3727","Rochester Iron & Metal","12/22/2024","$0.00","$4,425.22","","Dec 27, 2024, 7:32 AM",
"11/22/2024","Deposit","","Rochester Iron & Metal","","$0.00","$5,676.24","","Dec 4, 2024, 10:28 AM",
"11/22/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$5,676.24","","Nov 22, 2024, 7:30 AM",
"11/20/2024","Invoice","3721","Rochester Iron & Metal","12/20/2024","$0.00","$4,069.80","","Dec 27, 2024, 7:32 AM",
"11/19/2024","Invoice","3719","Rochester Iron & Metal","12/19/2024","$0.00","$3,458.70","","Dec 20, 2024, 9:39 AM",
"11/15/2024","Deposit","","Rochester Iron & Metal","","$0.00","$10,250.02","","Dec 4, 2024, 10:28 AM",
"11/15/2024","Payment","","Rochester Iron & Metal","","$0.00","$10,250.02","","Nov 15, 2024, 9:38 AM",
"11/14/2024","Invoice","3712","Rochester Iron & Metal","12/14/2024","$0.00","$425.42","","Nov 14, 2024, 2:52 PM",
"11/14/2024","Invoice","3708","Rochester Iron & Metal","12/14/2024","$0.00","$2,557.14","","Dec 20, 2024, 9:39 AM",
"11/12/2024","Invoice","3701","Rochester Iron & Metal","12/12/2024","$0.00","$3,231.90","","Dec 20, 2024, 9:39 AM",
"11/11/2024","Invoice","3698","Rochester Iron & Metal","12/11/2024","$0.00","$3,284.20","","Dec 13, 2024, 7:41 AM",
"11/11/2024","Invoice","3697","Rochester Iron & Metal","12/11/2024","$0.00","$3,928.57","","Dec 13, 2024, 7:41 AM",
"11/08/2024","Invoice","3693","Rochester Iron & Metal","12/08/2024","$0.00","$3,584.70","","Dec 13, 2024, 7:41 AM",
"11/08/2024","Deposit","","Rochester Iron & Metal","","$0.00","$10,368.40","","Dec 4, 2024, 10:28 AM",
"11/08/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$2,731.43","","Nov 8, 2024, 7:37 AM",
